"trip_id","duration","start_time","end_time","start_station","start_lat","start_lon","end_station","end_lat","end_lon","bike_id","plan_duration","trip_route_category","passholder_type"
223869188,18,"2018-01-01 00:24:00","2018-01-01 00:42:00",3124,39.952950,-75.139793,3073,39.961430,-75.152420,"03708",30,"One Way","Indego30"
223905597,572,"2018-01-01 00:38:00","2018-01-01 10:10:00",3023,39.950481,-75.172859,3066,39.945610,-75.173477,"03288",365,"One Way","Indego365"
223872811,22,"2018-01-01 00:48:00","2018-01-01 01:10:00",3026,39.941380,-75.145638,3023,39.950481,-75.172859,11735,30,"One Way","Indego30"
223872810,21,"2018-01-01 01:03:00","2018-01-01 01:24:00",3045,39.947922,-75.162369,3037,39.954239,-75.161377,"05202",30,"One Way","Indego30"
223872809,4,"2018-01-01 01:05:00","2018-01-01 01:09:00",3115,39.972630,-75.167572,3058,39.967159,-75.170013,"05142",30,"One Way","Indego30"
223912960,658,"2018-01-01 01:14:00","2018-01-01 12:12:00",3045,39.947922,-75.162369,3000,"","","05196",30,"One Way","Indego30"
223876441,12,"2018-01-01 01:52:00","2018-01-01 02:04:00",3046,39.950119,-75.144722,3072,39.934448,-75.145409,"03631",0,"One Way","Walk-up"
223876440,7,"2018-01-01 01:54:00","2018-01-01 02:01:00",3098,39.934311,-75.160423,3158,39.925522,-75.169037,"02724",365,"One Way","Indego365"
223876439,5,"2018-01-01 02:13:00","2018-01-01 02:18:00",3055,39.951118,-75.154572,3155,39.940182,-75.154419,"03322",30,"One Way","Indego30"
223876438,20,"2018-01-01 02:17:00","2018-01-01 02:37:00",3056,39.976688,-75.158127,3110,39.961750,-75.136414,11016,30,"One Way","Indego30"
223876437,7,"2018-01-01 02:23:00","2018-01-01 02:30:00",3021,39.953899,-75.169022,3007,39.945171,-75.159927,"02537",365,"One Way","Indego365"
223876436,10,"2018-01-01 02:26:00","2018-01-01 02:36:00",3160,39.956619,-75.198624,3022,39.954720,-75.183228,11774,0,"One Way","Walk-up"
223876435,9,"2018-01-01 02:28:00","2018-01-01 02:37:00",3160,39.956619,-75.198624,3022,39.954720,-75.183228,"02546",0,"One Way","Walk-up"
223876434,11,"2018-01-01 02:35:00","2018-01-01 02:46:00",3154,39.959240,-75.158211,3070,39.960621,-75.139832,"03643",30,"One Way","Indego30"
223876433,11,"2018-01-01 02:38:00","2018-01-01 02:49:00",3156,39.953812,-75.174072,3071,39.961731,-75.187881,"03307",0,"One Way","Walk-up"
223880067,13,"2018-01-01 02:53:00","2018-01-01 03:06:00",3007,39.945171,-75.159927,3034,39.933151,-75.162483,11809,30,"One Way","Indego30"
223880066,7,"2018-01-01 03:48:00","2018-01-01 03:55:00",3025,39.937241,-75.161201,3072,39.934448,-75.145409,"05361",30,"One Way","Indego30"
223905582,401,"2018-01-01 03:54:00","2018-01-01 10:35:00",3070,39.960621,-75.139832,3040,39.962891,-75.166061,"03643",30,"One Way","Indego30"
223883701,8,"2018-01-01 04:25:00","2018-01-01 04:33:00",3101,39.942951,-75.159554,3157,39.925449,-75.159538,"02552",30,"One Way","Indego30"
223887338,8,"2018-01-01 05:27:00","2018-01-01 05:35:00",3078,39.953548,-75.171921,3033,39.950050,-75.156723,11916,30,"One Way","Indego30"
223887337,10,"2018-01-01 05:43:00","2018-01-01 05:53:00",3114,39.937752,-75.180122,3010,39.947109,-75.166183,11837,30,"One Way","Indego30"
223894615,10,"2018-01-01 06:53:00","2018-01-01 07:03:00",3045,39.947922,-75.162369,3000,"","","02686",30,"One Way","Indego30"
223894614,8,"2018-01-01 07:06:00","2018-01-01 07:14:00",3023,39.950481,-75.172859,3020,39.949219,-75.190361,"05308",30,"One Way","Indego30"
223894613,8,"2018-01-01 07:34:00","2018-01-01 07:42:00",3108,39.953159,-75.165512,3023,39.950481,-75.172859,11928,30,"One Way","Indego30"
223898258,9,"2018-01-01 07:55:00","2018-01-01 08:04:00",3053,39.932308,-75.181541,3064,39.938400,-75.173271,"03521",30,"One Way","Indego30"
223898257,11,"2018-01-01 08:04:00","2018-01-01 08:15:00",3064,39.938400,-75.173271,3037,39.954239,-75.161377,"03664",30,"One Way","Indego30"
223898256,9,"2018-01-01 08:12:00","2018-01-01 08:21:00",3032,39.945271,-75.179710,3029,39.953800,-75.194794,"02508",30,"One Way","Indego30"
223898255,6,"2018-01-01 08:35:00","2018-01-01 08:41:00",3056,39.976688,-75.158127,3075,39.967178,-75.161247,"03659",30,"One Way","Indego30"
223898254,1,"2018-01-01 08:40:00","2018-01-01 08:41:00",3023,39.950481,-75.172859,3023,39.950481,-75.172859,11786,30,"Round Trip","Indego30"
223901907,33,"2018-01-01 08:43:00","2018-01-01 09:16:00",3023,39.950481,-75.172859,3033,39.950050,-75.156723,"05184",30,"One Way","Indego30"
223901906,4,"2018-01-01 08:58:00","2018-01-01 09:02:00",3064,39.938400,-75.173271,3025,39.937241,-75.161201,"02729",365,"One Way","Indego365"
223901905,4,"2018-01-01 09:00:00","2018-01-01 09:04:00",3046,39.950119,-75.144722,3049,39.945091,-75.142502,11933,30,"One Way","Indego30"
223901904,5,"2018-01-01 09:12:00","2018-01-01 09:17:00",3025,39.937241,-75.161201,3064,39.938400,-75.173271,"02729",365,"One Way","Indego365"
223901903,14,"2018-01-01 09:15:00","2018-01-01 09:29:00",3016,39.968922,-75.154701,3055,39.951118,-75.154572,"03725",30,"One Way","Indego30"
223901902,4,"2018-01-01 09:16:00","2018-01-01 09:20:00",3058,39.967159,-75.170013,3054,39.962502,-75.174202,"05142",30,"One Way","Indego30"
223901901,7,"2018-01-01 09:18:00","2018-01-01 09:25:00",3059,39.962650,-75.161743,3050,39.953388,-75.154259,11783,30,"One Way","Indego30"
223901900,14,"2018-01-01 09:22:00","2018-01-01 09:36:00",3007,39.945171,-75.159927,3150,39.928841,-75.170212,"02537",365,"One Way","Indego365"
223905562,6,"2018-01-01 09:54:00","2018-01-01 10:00:00",3043,39.930820,-75.174744,3043,39.930820,-75.174744,"03597",30,"Round Trip","Indego30"
223905561,5,"2018-01-01 09:56:00","2018-01-01 10:01:00",3028,39.940609,-75.149582,3052,39.947319,-75.156952,11039,30,"One Way","Indego30"
223905560,12,"2018-01-01 10:09:00","2018-01-01 10:21:00",3033,39.950050,-75.156723,3023,39.950481,-75.172859,11916,30,"One Way","Indego30"
223905558,3,"2018-01-01 10:10:00","2018-01-01 10:13:00",3012,39.942181,-75.177467,3032,39.945271,-75.179710,"05194",30,"One Way","Indego30"
223905559,15,"2018-01-01 10:10:00","2018-01-01 10:25:00",3068,39.935490,-75.167107,3100,39.927769,-75.151031,"05151",30,"One Way","Indego30"
223905557,9,"2018-01-01 10:18:00","2018-01-01 10:27:00",3032,39.945271,-75.179710,3012,39.942181,-75.177467,"05194",30,"One Way","Indego30"
223916626,183,"2018-01-01 10:34:00","2018-01-01 13:37:00",3157,39.925449,-75.159538,3000,"","",11830,30,"One Way","Indego30"
223916625,182,"2018-01-01 10:35:00","2018-01-01 13:37:00",3157,39.925449,-75.159538,3000,"","","03361",0,"One Way","Walk-up"
223905556,14,"2018-01-01 10:45:00","2018-01-01 10:59:00",3086,39.940189,-75.166908,3049,39.945091,-75.142502,"05255",30,"One Way","Indego30"
223905554,1,"2018-01-01 10:49:00","2018-01-01 10:50:00",3101,39.942951,-75.159554,3101,39.942951,-75.159554,"03439",30,"Round Trip","Indego30"
223916621,182,"2018-01-01 10:50:00","2018-01-01 13:52:00",3101,39.942951,-75.159554,3000,"","","02586",30,"One Way","Indego30"
223909231,13,"2018-01-01 10:51:00","2018-01-01 11:04:00",3030,39.939350,-75.157158,3023,39.950481,-75.172859,"03479",30,"One Way","Indego30"
